uf,ano,mes,indice_uv,temperatura_media_2m
RS,2005,5,0.66032258064516125,16.760322580645163
RS,2005,6,0.49166666666666664,16.471666666666668
RS,2005,7,0.5564516129032258,12.581612903225807
RS,2005,8,0.7158064516129032,14.949032258064516
RS,2005,9,1.0176666666666667,13.689333333333334
RS,2005,10,1.5551612903225807,17.360967741935482
RS,2005,11,2.412,19.88533333333333
RS,2005,12,2.7480645161290322,21.8341935483871
RS,2006,1,2.7425806451612904,24.583225806451612
RS,2006,2,2.5982142857142856,24.254285714285714
RS,2006,3,1.9158064516129032,22.849677419354837
RS,2006,4,1.3573333333333333,18.460333333333335
RS,2006,5,0.7974193548387096,13.570322580645161
RS,2006,6,0.5666666666666667,14.342
RS,2006,7,0.6154838709677419,15.234838709677419
RS,2006,8,0.8806451612903226,13.589032258064517
RS,2006,9,1.316,14.225666666666667
RS,2006,10,1.9596774193548387,19.029032258064515
RS,2006,11,2.334,19.711333333333332
RS,2006,12,2.9248387096774193,24.011612903225807
RS,2007,1,2.732258064516129,23.485806451612902
RS,2007,2,2.519285714285714,23.851785714285715
RS,2007,3,1.7880645161290323,22.675483870967742
RS,2007,4,1.259,19.884333333333334
RS,2007,5,0.7296774193548387,12.861290322580645
RS,2007,6,0.46166666666666667,13.177333333333333
RS,2007,7,0.4848387096774194,10.006774193548386
RS,2007,8,0.6432258064516129,12.321290322580644
RS,2007,9,1.019,17.44333333333333
RS,2007,10,1.3770967741935485,19.441612903225806
RS,2007,11,2.3633333333333333,18.453666666666667
RS,2007,12,2.783225806451613,22.03451612903226
RS,2008,1,2.8138709677419356,22.801290322580645
RS,2008,2,2.4286206896551725,22.76551724137931
RS,2008,3,1.947741935483871,21.801290322580645
RS,2008,4,1.3366666666666667,18.141666666666666
RS,2008,5,0.8167741935483871,14.758709677419356
RS,2008,6,0.49533333333333335,11.099666666666666
RS,2008,7,0.5970967741935483,14.960645161290323
RS,2008,8,0.8538709677419355,13.605806451612903
RS,2008,9,1.2546666666666666,13.792666666666667
RS,2008,10,1.5996774193548386,17.88
RS,2008,11,2.6053333333333333,20.159333333333333
RS,2008,12,2.863225806451613,21.450967741935482
RS,2009,1,2.7399999999999998,21.45741935483871
RS,2009,2,2.4457142857142857,23.31357142857143
RS,2009,3,1.9580645161290322,21.86741935483871
RS,2009,4,1.371,19.061333333333334
RS,2009,5,0.7574193548387097,16.322580645161292
RS,2009,6,0.5433333333333333,10.981333333333334
RS,2009,7,0.5696774193548387,10.013548387096774
RS,2009,8,0.8096774193548387,14.290645161290323
RS,2009,9,1.0696666666666668,15.408333333333333
RS,2009,10,1.834516129032258,17.29
RS,2009,11,1.6063333333333334,22.744
RS,2009,12,2.643548387096774,22.10322580645161
RS,2010,1,2.424516129032258,23.030322580645162
RS,2010,2,2.4839285714285713,23.810714285714287
RS,2010,3,1.946774193548387,21.391290322580645
RS,2010,4,1.2083333333333333,17.782333333333334
RS,2010,5,0.6541935483870968,14.717419354838709
RS,2010,6,0.504,13.392
RS,2010,7,0.5432258064516129,12.150645161290322
RS,2010,8,0.6564516129032258,12.496129032258064
RS,2010,9,1.0963333333333334,15.561333333333334
RS,2010,10,1.8941935483870969,16.168064516129032
RS,2010,11,2.33,18.383666666666667
RS,2010,12,2.8006451612903227,21.531935483870967
RS,2011,1,2.734193548387097,24.315806451612904
RS,2011,2,2.232142857142857,22.807142857142857
RS,2011,3,1.979032258064516,21.186451612903227
RS,2011,4,1.2843333333333333,18.477666666666668
RS,2011,5,0.7409677419354839,14.53225806451613
RS,2011,6,0.52,12.083666666666666
RS,2011,7,0.4535483870967742,11.609677419354838
RS,2011,8,0.7461290322580645,12.830322580645161
RS,2011,9,1.2286666666666666,15.060666666666666
RS,2011,10,1.7309677419354839,17.633548387096774
RS,2011,11,2.3066666666666666,19.606333333333332
RS,2011,12,2.609677419354839,21.642258064516128
RS,2012,1,2.8916129032258064,24.185806451612905
RS,2012,2,2.416896551724138,26.006206896551724
RS,2012,3,2.0451612903225804,22.42967741935484
RS,2012,4,1.2473333333333334,18.343666666666667
RS,2012,5,0.8487096774193549,16.947096774193547
RS,2012,6,0.49233333333333335,13.112
RS,2012,7,0.5409677419354839,11.467419354838709
RS,2012,8,0.86,17.49451612903226
RS,2012,9,1.0903333333333334,16.881333333333334
RS,2012,10,1.4961290322580645,19.727096774193548
RS,2012,11,2.4743333333333335,21.325
RS,2012,12,2.4619354838709677,23.22483870967742
RS,2013,1,2.7729032258064517,22.09967741935484
RS,2013,2,2.2485714285714287,22.78607142857143
RS,2013,3,1.6461290322580644,19.688387096774193
RS,2013,4,1.2556666666666667,18.113666666666667
RS,2013,5,0.7348387096774194,14.970645161290323
RS,2013,6,0.5536666666666666,13.107333333333333
RS,2013,7,0.6493548387096774,12.173870967741935
RS,2013,8,0.81,11.78741935483871
RS,2013,9,1.214,15.75
RS,2013,10,1.9341935483870967,17.524838709677418
RS,2013,11,2.4603333333333333,20.781333333333333
RS,2013,12,2.9048387096774193,23.61064516129032
RS,2014,1,2.7729032258064517,25.288387096774194
RS,2014,2,2.3946428571428573,25.278928571428573
RS,2014,3,1.8735483870967742,20.978387096774195
RS,2014,4,1.2923333333333333,18.761666666666667
RS,2014,5,0.6970967741935484,14.960967741935484
RS,2014,6,0.4433333333333333,12.848333333333333
RS,2014,7,0.5461290322580645,13.101290322580645
RS,2014,8,0.9400000000000001,14.289354838709677
RS,2014,9,1.11,16.78633333333333
RS,2014,10,1.685483870967742,19.644516129032258
RS,2014,11,2.3663333333333334,20.422666666666668
RS,2014,12,2.4183870967741936,22.129032258064516
RS,2015,1,2.4961290322580645,23.22032258064516
RS,2015,2,2.409642857142857,22.917857142857144
RS,2015,3,1.9116129032258065,21.9158064516129
RS,2015,4,1.295,18.715666666666667
RS,2015,5,0.7048387096774194,16.178387096774195
RS,2015,6,0.534,13.681666666666667
RS,2015,7,0.5093548387096775,13.280967741935484
RS,2015,8,0.9258064516129032,17.925806451612903
RS,2015,9,1.16,15.750333333333334
RS,2015,10,1.528709677419355,17.503548387096775
RS,2015,11,1.918,18.927
RS,2015,12,2.0851612903225805,22.419677419354837
RS,2016,1,2.7851612903225806,23.43193548387097
RS,2016,2,2.470689655172414,23.787241379310345
RS,2016,3,1.6883870967741936,19.98032258064516
RS,2016,4,1.138,20.591
RS,2016,5,0.652258064516129,12.900967741935483
RS,2016,6,0.546,10.251666666666667
RS,2016,7,0.6103225806451613,12.616129032258064
RS,2016,8,0.8648387096774194,14.536774193548387
RS,2016,9,1.4546666666666666,14.484666666666667
RS,2016,10,1.7816129032258066,17.83290322580645
RS,2016,11,2.423,19.181666666666665
RS,2016,12,2.672258064516129,22.450967741935486
RS,2017,1,2.527096774193548,23.373870967741937
RS,2017,2,2.4135714285714287,23.6925
RS,2017,3,1.8983870967741936,20.75709677419355
RS,2017,4,1.1603333333333334,17.915
RS,2017,5,0.6474193548387097,16.538709677419355
RS,2017,6,0.524,14.025
RS,2017,7,0.6583870967741936,14.07709677419355
RS,2017,8,0.82,15.375806451612902
RS,2017,9,1.0836666666666666,18.720666666666666
RS,2017,10,1.6703225806451614,18.051290322580645
RS,2017,11,2.4506666666666668,18.644000000000002
RS,2017,12,2.715483870967742,22.668709677419354
RS,2018,1,2.5425806451612902,23.656129032258065
RS,2018,2,2.673928571428571,23.22357142857143
RS,2018,3,1.961290322580645,22.011612903225807
RS,2018,4,1.2756666666666667,21.595333333333333
RS,2018,5,0.7051612903225807,16.726129032258065
RS,2018,6,0.466,11.843666666666667
RS,2018,7,0.46838709677419355,12.596451612903225
RS,2018,8,0.7364516129032258,12.334838709677419
RS,2018,9,1.1260000000000001,17.650666666666666
RS,2018,10,1.767741935483871,18.189032258064515
RS,2018,11,2.411,20.829333333333334
RS,2018,12,2.649677419354839,22.363870967741935
RS,2019,1,2.3974193548387097,24.54258064516129
RS,2019,2,2.422857142857143,23.047857142857143
RS,2019,3,1.843225806451613,21.14
RS,2019,4,1.213,20.16433333333333
RS,2019,5,0.665483870967742,17.004193548387097
RS,2019,6,0.5676666666666667,16.498
RS,2019,7,0.5193548387096775,12.086774193548386
RS,2019,8,0.8516129032258064,13.246129032258064
RS,2019,9,1.236,15.452666666666667
RS,2019,10,1.4735483870967743,19.40516129032258
RS,2019,11,2.255,21.173000000000002
RS,2019,12,2.894516129032258,22.565483870967743
RS,2020,1,2.720322580645161,24.017096774193547
RS,2020,2,2.5751724137931036,24.272758620689654
RS,2020,3,2.127741935483871,24.90741935483871
RS,2020,4,1.3456666666666666,19.153333333333332
RS,2020,5,0.7296774193548388,15.413225806451614
RS,2020,6,0.4656666666666667,14.692333333333334
RS,2020,7,0.5654838709677419,11.442258064516128
RS,2020,8,0.9258064516129032,14.39
RS,2020,9,1.059,16.386666666666667
RS,2020,10,1.9316129032258065,18.253870967741936
RS,2020,11,2.2906666666666666,20.29
RS,2020,12,2.935483870967742,23.441935483870967
RS,2021,1,2.715161290322581,24.54064516129032
RS,2021,2,2.599285714285714,22.8125
RS,2021,3,1.9393548387096775,22.45193548387097
RS,2021,4,1.3783333333333334,19.413333333333334
RS,2021,5,0.7458064516129033,13.413870967741936
RS,2021,6,0.45433333333333337,12.221333333333334
RS,2021,7,0.6080645161290322,11.719354838709677
RS,2021,8,0.747741935483871,15.050645161290323
RS,2021,9,1.0953333333333333,17.005666666666666
RS,2021,10,1.8148387096774194,17.84774193548387
RS,2021,11,2.3556666666666666,21.28
RS,2021,12,2.976451612903226,24.142258064516128
RS,2022,1,2.960967741935484,26.95
RS,2022,2,2.3775,24.973928571428573
RS,2022,3,1.8487096774193548,21.72935483870968
RS,2022,4,1.1433333333333333,18.123
RS,2022,5,0.642258064516129,13.245483870967742
RS,2022,6,0.489,11.262
RS,2022,7,0.5693548387096774,15.71225806451613
RS,2022,8,0.9041935483870968,12.833548387096775
RS,2022,9,1.3406666666666667,14.295
RS,2022,10,1.8641935483870968,17.07741935483871
RS,2022,11,2.614666666666667,18.989
RS,2022,12,2.942258064516129,22.77225806451613
RS,2023,1,2.8029032258064515,25.909032258064517
RS,2023,2,2.4825,24.5875
RS,2023,3,1.9422580645161291,25.311612903225807
RS,2023,4,1.2386666666666666,19.645666666666667
RS,2023,5,0.7006451612903226,16.75483870967742
RS,2023,6,0.5283333333333333,14.757333333333333
RS,2023,7,0.525483870967742,13.646129032258065
RS,2023,8,0.915483870967742,15.141290322580645
RS,2023,9,0.9096666666666666,17.858
RS,2023,10,1.4451612903225806,17.876129032258063
RS,2023,11,1.7196666666666667,20.475
RS,2023,12,2.297096774193548,23.066451612903226
SC,2000,1,NA,20.044838709677418
SC,2000,2,NA,19.644827586206898
SC,2000,3,NA,18.64
SC,2000,4,NA,16.51
SC,2000,5,NA,12.043870967741936
SC,2000,6,NA,13.032
SC,2000,7,NA,8.31258064516129
SC,2000,8,NA,11.848709677419354
SC,2000,9,NA,13.933
SC,2000,10,NA,17.56967741935484
SC,2000,11,NA,17.819
SC,2000,12,NA,19.13064516129032
SC,2001,1,2.407741935483871,20.22225806451613
SC,2001,2,2.2089285714285714,20.347142857142856
SC,2001,3,2.0274193548387096,20.018064516129034
SC,2001,4,1.2716666666666667,17.904
SC,2001,5,0.7825806451612903,12.14516129032258
SC,2001,6,0.6173333333333333,11.277
SC,2001,7,0.6216129032258064,11.51741935483871
SC,2001,8,0.9325806451612904,14.458064516129033
SC,2001,9,1.0856666666666666,14.134333333333334
SC,2001,10,1.7938709677419356,16.338387096774195
SC,2001,11,2.284333333333333,18.353
SC,2001,12,2.5916129032258066,18.170322580645163
SC,2002,1,2.5093548387096773,19.45225806451613
SC,2002,2,2.3639285714285716,18.2775
SC,2002,3,2.0474193548387096,20.71290322580645
SC,2002,4,1.2753333333333334,18.128333333333334
SC,2002,5,0.857741935483871,14.71258064516129
SC,2002,6,0.6083333333333334,13.155
SC,2002,7,0.6541935483870968,11.20225806451613
SC,2002,8,0.8564516129032258,13.894516129032258
SC,2002,9,1.1593333333333333,12.851333333333333
SC,2002,10,1.413225806451613,18.558387096774194
SC,2002,11,2.1466666666666665,18.053333333333335
SC,2002,12,2.392258064516129,19.49483870967742
SC,2003,1,2.620967741935484,20.085806451612903
SC,2003,2,2.3825,20.818214285714287
SC,2003,3,1.9480645161290322,18.733870967741936
SC,2003,4,1.4066666666666667,15.718
SC,2003,5,0.9074193548387097,12.373870967741935
SC,2003,6,0.58,13.297333333333333
SC,2003,7,0.6148387096774194,12.431290322580645
SC,2003,8,1.0316129032258066,9.93
SC,2003,9,1.3086666666666666,13.826666666666666
SC,2003,10,1.814516129032258,16.38774193548387
SC,2003,11,2.33,17.622333333333334
SC,2003,12,2.214193548387097,18.60225806451613
SC,2004,1,2.6206451612903225,19.620967741935484
SC,2004,2,2.4258620689655173,19.369310344827586
SC,2004,3,1.9851612903225806,18.86193548387097
SC,2004,4,1.3876666666666666,17.859
SC,2004,5,0.7596774193548387,11.726129032258065
SC,2004,6,0.642,12.175666666666666
SC,2004,7,0.6583870967741936,11.155806451612904
SC,2004,8,1.0819354838709678,12.762258064516129
SC,2004,9,1.075,16.38
SC,2004,10,1.9993548387096773,15.574516129032258
SC,2004,11,2.2653333333333334,16.995666666666665
SC,2004,12,2.444193548387097,18.32677419354839
SC,2005,1,2.6519354838709677,20.196451612903225
SC,2005,2,2.547857142857143,20.286785714285713
SC,2005,3,2.0103225806451612,19.77516129032258
SC,2005,4,1.2550000000000001,17.45
SC,2005,5,0.8522580645161291,14.418709677419354
SC,2005,6,0.616,14.181000000000001
SC,2005,7,0.6812903225806451,10.551935483870968
SC,2005,8,0.8603225806451613,13.426129032258064
SC,2005,9,0.9743333333333334,11.702
SC,2005,10,1.5264516129032257,17.060322580645163
SC,2005,11,2.3886666666666665,17.435666666666666
SC,2005,12,2.5019354838709678,18.136774193548387
SC,2006,1,2.726774193548387,20.778387096774193
SC,2006,2,2.3625,19.673571428571428
SC,2006,3,1.925483870967742,19.09483870967742
SC,2006,4,1.5056666666666667,15.509333333333334
SC,2006,5,0.9074193548387097,11.612580645161291
SC,2006,6,0.6756666666666666,13.024666666666667
SC,2006,7,0.7716129032258064,13.321612903225807
SC,2006,8,1.0093548387096773,13.021935483870967
SC,2006,9,1.356,13.101
SC,2006,10,1.9738709677419355,17.550645161290323
SC,2006,11,2.211666666666667,18.012666666666668
SC,2006,12,2.695806451612903,20.341290322580644
SC,2007,1,2.5916129032258066,20.684838709677418
SC,2007,2,2.47,20.151071428571427
SC,2007,3,2.0403225806451615,20.156129032258065
SC,2007,4,1.3566666666666667,17.605
SC,2007,5,0.7512903225806452,11.961935483870969
SC,2007,6,0.5973333333333334,12.168
SC,2007,7,0.6148387096774194,9.48
SC,2007,8,0.8048387096774193,12.449677419354838
SC,2007,9,1.2393333333333334,16.134333333333334
SC,2007,10,1.4141935483870967,17.38290322580645
SC,2007,11,2.341666666666667,17.061
SC,2007,12,2.6961290322580647,19.28258064516129
SC,2008,1,2.342258064516129,18.810967741935485
SC,2008,2,2.463103448275862,19.09241379310345
SC,2008,3,1.9361290322580644,18.296774193548387
SC,2008,4,1.3173333333333332,15.548333333333334
SC,2008,5,0.9829032258064516,12.129677419354838
SC,2008,6,0.618,9.996666666666666
SC,2008,7,0.8051612903225807,12.575806451612904
SC,2008,8,0.9848387096774194,13.526129032258064
SC,2008,9,1.336,12.521666666666667
SC,2008,10,1.44,16.490645161290324
SC,2008,11,2.167666666666667,16.922666666666668
SC,2008,12,2.7561290322580647,18.33
SC,2009,1,2.5180645161290323,18.608064516129033
SC,2009,2,2.2560714285714285,19.9975
SC,2009,3,2.043548387096774,19.355806451612903
SC,2009,4,1.43,16.997
SC,2009,5,0.8793548387096775,14.145483870967743
SC,2009,6,0.6146666666666667,9.549333333333333
SC,2009,7,0.6067741935483871,9.784193548387098
SC,2009,8,0.9851612903225806,12.800645161290323
SC,2009,9,1.0863333333333334,14.726666666666667
SC,2009,10,1.7319354838709677,16.224516129032256
SC,2009,11,2.050666666666667,20.827666666666666
SC,2009,12,2.6938709677419355,19.80258064516129
SC,2010,1,2.27258064516129,20.357096774193547
SC,2010,2,2.485357142857143,20.95
SC,2010,3,1.8325806451612903,18.830645161290324
SC,2010,4,1.2163333333333333,16.016
SC,2010,5,0.7503225806451613,12.496774193548386
SC,2010,6,0.6226666666666667,11.883
SC,2010,7,0.6783870967741935,11.660645161290322
SC,2010,8,0.8293548387096774,11.59741935483871
SC,2010,9,1.201,14.869666666666667
SC,2010,10,1.8729032258064515,14.99
SC,2010,11,2.355,16.88233333333333
SC,2010,12,2.236774193548387,18.85516129032258
SC,2011,1,2.535806451612903,20.589354838709678
SC,2011,2,1.9757142857142858,20.149642857142858
SC,2011,3,1.7009677419354838,17.95225806451613
SC,2011,4,1.365,16.554333333333332
SC,2011,5,0.8190322580645161,12.738064516129032
SC,2011,6,0.6173333333333333,10.359666666666667
